% Pose logfile
% 1 	Time (sec)
% 2,3 	X, Y position (m)
% 4 	Heading in radians (m)
% 5 	Tilt angle, if calculated (rad)
1777025566.9725 0.000 0.000 0.0000 3.1294
1777025566.9773 0.000 0.000 0.0000 3.1295
1777025566.9827 0.000 0.000 0.0000 3.1294
1777025566.9879 0.000 0.000 0.0000 3.1295
1777025566.9925 0.000 0.000 0.0000 3.1295
1777025566.9980 0.000 0.000 0.0000 3.1294
1777025567.0027 0.000 0.000 0.0000 3.1295
1777025567.0083 0.000 0.000 0.0000 3.1294
1777025567.0128 0.000 0.000 0.0000 3.1294
1777025567.0181 0.000 0.000 0.0000 3.1294
1777025567.0227 0.000 0.000 0.0000 3.1294
1777025567.0275 0.000 0.000 0.0000 3.1294
1777025567.0330 0.000 0.000 0.0000 3.1294
1777025567.0377 0.000 0.000 0.0000 3.1294
1777025567.0424 0.000 0.000 0.0000 3.1294
1777025567.0481 0.000 0.000 0.0000 3.1294
1777025567.0526 0.000 0.000 0.0000 3.1295
1777025567.0573 0.000 0.000 0.0000 3.1295
1777025567.0629 0.000 0.000 0.0000 3.1295
1777025567.0676 0.000 0.000 0.0000 3.1295
1777025567.0728 0.000 0.000 0.0000 3.1295
1777025567.0774 0.000 0.000 0.0000 3.1295
1777025567.0830 0.000 0.000 0.0000 3.1295
1777025567.0874 0.000 0.000 0.0000 3.1295
1777025567.0931 0.000 0.000 0.0000 3.1295
1777025567.0979 0.000 0.000 0.0000 3.1295
1777025567.1025 0.000 0.000 0.0000 3.1295
1777025567.1074 0.000 0.000 0.0000 3.1295
1777025567.1130 0.000 0.000 0.0000 3.1295
1777025567.1177 0.000 0.000 0.0000 3.1295
1777025567.1228 0.000 0.000 0.0000 3.1294
1777025567.1278 0.000 0.000 0.0000 3.1294
1777025567.1324 0.000 0.000 0.0000 3.1294
1777025567.1381 0.000 0.000 0.0000 3.1294
1777025567.1437 0.000 0.000 0.0000 3.1294
1777025567.1484 0.000 0.000 0.0000 3.1294
1777025567.1528 0.000 0.000 0.0000 3.1294
1777025567.1586 0.000 0.000 0.0000 3.1295
1777025567.1630 0.000 0.000 0.0000 3.1294
1777025567.1679 0.000 0.000 0.0000 3.1294
1777025567.1734 0.000 0.000 0.0000 3.1294
1777025567.1780 0.000 0.000 0.0000 3.1294
1777025567.1836 0.000 0.000 0.0000 3.1294
1777025567.1882 0.000 0.000 0.0000 3.1294
1777025567.1929 0.000 0.000 0.0000 3.1294
1777025567.1984 0.000 0.000 0.0000 3.1295
1777025567.2031 0.000 0.000 0.0000 3.1295
1777025567.2079 0.000 0.000 0.0000 3.1295
1777025567.2134 0.000 0.000 0.0000 3.1294
1777025567.2184 0.000 0.000 0.0000 3.1294
1777025567.2228 0.000 0.000 0.0000 3.1294
1777025567.2288 0.000 0.000 0.0000 3.1294
1777025567.2333 0.000 0.000 0.0000 3.1294
1777025567.2388 0.000 0.000 0.0000 3.1295
1777025567.2435 0.000 0.000 0.0000 3.1295
1777025567.2480 0.000 0.000 0.0000 3.1294
1777025567.2541 0.000 0.000 0.0000 3.1294
1777025567.2588 0.000 0.000 0.0000 3.1294
1777025567.2632 0.000 0.000 0.0000 3.1294
1777025567.2679 0.000 0.000 0.0000 3.1294
1777025567.2734 0.000 0.000 0.0000 3.1294
1777025567.2781 0.000 0.000 0.0000 3.1294
1777025567.2836 0.000 0.000 0.0000 3.1294
1777025567.2885 0.000 0.000 0.0000 3.1294
1777025567.2930 0.000 0.000 0.0000 3.1294
1777025567.2985 0.000 0.000 0.0000 3.1294
1777025567.3032 0.000 0.000 0.0000 3.1294
1777025567.3088 0.000 0.000 0.0000 3.1294
1777025567.3136 0.000 0.000 0.0000 3.1294
1777025567.3181 0.000 0.000 0.0000 3.1294
1777025567.3229 0.000 0.000 0.0000 3.1294
1777025567.3287 0.000 0.000 0.0000 3.1294
1777025567.3331 0.000 0.000 0.0000 3.1294
1777025567.3388 0.000 0.000 0.0000 3.1294
1777025567.3432 0.000 0.000 0.0000 3.1294
1777025567.3479 0.000 0.000 0.0000 3.1294
1777025567.3541 0.000 0.000 0.0000 3.1294
1777025567.3586 0.000 0.000 0.0000 3.1294
