% teensy communication to/from Teensy
% 1 	Time (sec) from system
% 2 	(Tx) Send to Teensy
%   	(Rx) Received from Teensy
%   	(Qu N) Put in queue to Teensy, now queue size N
% 3 	Message string queued, send or received
1777025564.4275 ## Connection to USB open
1777025565.0306 Rx ;53pose 2128.2749 0.000 0.000 0.0000 3.1294
1777025565.0307 Rx ;35gyro -0.213623 -2.288818 0.823975 2128.276
1777025565.0308 Rx ;58vel 2128.2759 0.000 0.000 0.0000 0.000 4
1777025565.0320 Rx ;97acc 0.035156 -0.006104 1.164062 2128.277
1777025565.0342 Rx ;40livn 90 81 73 92 82 85 90 11 5
1777025565.0353 Rx ;41pose 2128.2800 0.000 0.000 0.0000 3.1294
1777025565.0386 Rx ;57vel 2128.2839 0.000 0.000 0.0000 0.000 4
1777025565.0392 Txd ;21motv 0 0
1777025565.0398 Rx ;90mca 0.000 0.000 16
1777025565.0398 Rx ;49pose 2128.2852 0.000 0.000 0.0000 3.1295
1777025565.0410 Rx ;89svo 0 0 0  0 0 0  0 0 0  0 0 0  0 0 0
1777025565.0422 Rx ;64gyro 0.213623 -2.380371 1.129150 2128.288
1777025565.0433 Rx ;61ird 0.339 1.500 6675 2065 1
1777025565.0434 Rx ;69acc 0.033447 0.000244 1.166992 2128.289
1777025565.0446 Rx ;57livn 81 92 82 80 79 86 85 27 5
1777025565.0458 Rx ;43pose 2128.2900 0.000 0.000 0.0000 3.1295
1777025565.0470 Rx ;48vel 2128.2920 0.000 0.000 0.0000 0.000 4
1777025565.0482 Txd ;21motv 0 0
1777025565.0504 Rx ;56pose 2128.2949 0.000 0.000 0.0000 3.1295
1777025565.0552 Rx ;18livn 98 99 83 78 74 80 75 7 5
1777025565.0552 Rx ;55gyro 0.061035 -2.105713 0.671387 2128.300
1777025565.0553 Rx ;38vel 2128.3000 0.000 0.000 0.0000 0.000 4
1777025565.0554 Rx ;36mot 0 0 0.1 0.1 0
1777025565.0555 Rx ;35pose 2128.3000 0.000 0.000 0.0000 3.1295
1777025565.0555 Rx ;93acc 0.031982 -0.002686 1.170410 2128.301
1777025565.0564 Txd ;21motv 0 0
1777025565.0601 Rx ;48pose 2128.3049 0.000 0.000 0.0000 3.1295
1777025565.0624 Rx ;54vel 2128.3079 0.000 0.000 0.0000 0.000 4
1777025565.0636 Rx ;72ird 0.339 1.500 6666 1689 1
1777025565.0649 Rx ;17livn 114 94 85 89 85 89 93 19 5
1777025565.0650 Rx ;36pose 2128.3101 0.000 0.000 0.0000 3.1294
1777025565.0662 Rx ;68gyro 0.091553 -2.044678 0.885010 2128.312
1777025565.0674 Rx ;01acc 0.033447 -0.001953 1.172607 2128.313
1777025565.0701 Rx ;49pose 2128.3149 0.000 0.000 0.0000 3.1295
1777025565.0713 Rx ;53vel 2128.3159 0.000 0.000 0.0000 0.000 4
1777025565.0725 Rx ;91mca 0.000 0.000 17
1777025565.0747 Rx ;33livn 112 103 94 75 72 77 92 11 5
1777025565.0748 Rx ;38pose 2128.3201 0.000 0.000 0.0000 3.1295
1777025565.0781 Rx ;67gyro 0.244141 -2.380371 0.854492 2128.324
1777025565.0793 Rx ;44vel 2128.3240 0.000 0.000 0.0000 0.000 4
1777025565.0794 Rx ;08acc 0.032959 -0.001221 1.166748 2128.325
1777025565.0805 Rx ;42pose 2128.3250 0.000 0.000 0.0000 3.1295
1777025565.0828 Rx ;65ird 0.338 1.500 6677 1924 1
1777025565.0850 Rx ;51livn 97 101 101 98 88 94 96 33 5
1777025565.0851 Rx ;39pose 2128.3301 0.000 0.000 0.0000 3.1295
